agent,trial,episode,cumulativeReward,averageReward,cumulativeSteps,numSteps
Q = 100,0,81,-8019.0,2.740740740740741,16301.0,27.0
Q = 100,0,82,-7950.0,2.15625,16333.0,32.0
Q = 100,0,83,-7873.0,3.2083333333333335,16357.0,24.0
Q = 100,0,84,-7802.0,2.3666666666666667,16387.0,30.0
Q = 100,0,85,-7733.0,2.15625,16419.0,32.0
Q = 100,0,86,-7659.0,2.740740740740741,16446.0,27.0
Q = 100,0,87,-7634.0,0.32894736842105265,16522.0,76.0
Q = 100,0,88,-7559.0,2.8846153846153846,16548.0,26.0
Q = 100,0,89,-7494.0,1.8055555555555556,16584.0,36.0
Q = 100,0,90,-7431.0,1.6578947368421053,16622.0,38.0
Q = 100,0,91,-7366.0,1.8055555555555556,16658.0,36.0
Q = 100,0,92,-7291.0,2.8846153846153846,16684.0,26.0
Q = 100,0,93,-7241.0,0.9803921568627451,16735.0,51.0
Q = 100,0,94,-7175.0,1.8857142857142857,16770.0,35.0
Q = 100,0,95,-7131.0,0.7719298245614035,16827.0,57.0
Q = 100,0,96,-7074.0,1.2954545454545454,16871.0,44.0
Q = 100,0,97,-7004.0,2.2580645161290325,16902.0,31.0
Q = 100,0,98,-6931.0,2.607142857142857,16930.0,28.0
Q = 100,0,99,-6856.0,2.8846153846153846,16956.0,26.0
Q = 100,1,0,-296.0,-0.7455919395465995,397.0,397.0
Q = 100,1,1,-1117.0,-0.8904555314533622,1319.0,922.0
Q = 100,1,2,-3251.0,-0.9548098434004474,3554.0,2235.0
Q = 100,1,3,-5755.0,-0.9612284069097888,6159.0,2605.0
Q = 100,1,4,-8631.0,-0.9660732280819617,9136.0,2977.0
Q = 100,1,5,-9441.0,-0.889132821075741,10047.0,911.0
Q = 100,1,6,-10317.0,-0.8966223132036848,11024.0,977.0
Q = 100,1,7,-10951.0,-0.8625850340136054,11759.0,735.0
Q = 100,1,8,-12149.0,-0.922247882986913,13058.0,1299.0
Q = 100,1,9,-12337.0,-0.6505190311418685,13347.0,289.0
Q = 100,1,10,-12989.0,-0.8658698539176627,14100.0,753.0
Q = 100,1,11,-13125.0,-0.5738396624472574,14337.0,237.0
Q = 100,1,12,-13349.0,-0.6892307692307692,14662.0,325.0
Q = 100,1,13,-13551.0,-0.6666666666666666,14965.0,303.0
Q = 100,1,14,-13800.0,-0.7114285714285714,15315.0,350.0
Q = 100,1,15,-14634.0,-0.8919786096256684,16250.0,935.0
Q = 100,1,16,-14824.0,-0.6529209621993127,16541.0,291.0
Q = 100,1,17,-14798.0,0.3466666666666667,16616.0,75.0
Q = 100,1,18,-14801.0,-0.028846153846153848,16720.0,104.0
Q = 100,1,19,-14805.0,-0.0380952380952381,16825.0,105.0
Q = 100,1,20,-14940.0,-0.5720338983050848,17061.0,236.0
Q = 100,1,21,-15045.0,-0.5097087378640777,17267.0,206.0
Q = 100,1,22,-15039.0,0.06315789473684211,17362.0,95.0
Q = 100,1,23,-15016.0,0.2948717948717949,17440.0,78.0
Q = 100,1,24,-14980.0,0.5538461538461539,17505.0,65.0
Q = 100,1,25,-14918.0,1.5897435897435896,17544.0,39.0
Q = 100,1,26,-14866.0,1.0612244897959184,17593.0,49.0
Q = 100,1,27,-14877.0,-0.09821428571428571,17705.0,112.0
Q = 100,1,28,-14840.0,0.578125,17769.0,64.0
Q = 100,1,29,-14802.0,0.6031746031746031,17832.0,63.0
Q = 100,1,30,-14744.0,1.3488372093023255,17875.0,43.0
Q = 100,1,31,-14712.0,0.463768115942029,17944.0,69.0
Q = 100,1,32,-14666.0,0.8363636363636363,17999.0,55.0
Q = 100,1,33,-14639.0,0.36486486486486486,18073.0,74.0
Q = 100,1,34,-14625.0,0.16091954022988506,18160.0,87.0
Q = 100,1,35,-14563.0,1.5897435897435896,18199.0,39.0
Q = 100,1,36,-14486.0,3.2083333333333335,18223.0,24.0
Q = 100,1,37,-14413.0,2.607142857142857,18251.0,28.0
Q = 100,1,38,-14357.0,1.2444444444444445,18296.0,45.0
Q = 100,1,39,-14301.0,1.2444444444444445,18341.0,45.0
Q = 100,1,40,-14255.0,0.8363636363636363,18396.0,55.0
Q = 100,1,41,-14278.0,-0.18548387096774194,18520.0,124.0
Q = 100,1,42,-14233.0,0.8035714285714286,18576.0,56.0
Q = 100,1,43,-14172.0,1.525,18616.0,40.0
Q = 100,1,44,-14106.0,1.8857142857142857,18651.0,35.0
Q = 100,1,45,-14040.0,1.8857142857142857,18686.0,35.0
Q = 100,1,46,-13995.0,0.8035714285714286,18742.0,56.0
Q = 100,1,47,-13942.0,1.1041666666666667,18790.0,48.0
Q = 100,1,48,-13877.0,1.8055555555555556,18826.0,36.0
Q = 100,1,49,-13820.0,1.2954545454545454,18870.0,44.0
Q = 100,1,50,-13757.0,1.6578947368421053,18908.0,38.0
Q = 100,1,51,-13685.0,2.4827586206896552,18937.0,29.0
Q = 100,1,52,-13624.0,1.525,18977.0,40.0
Q = 100,1,53,-13584.0,0.6557377049180327,19038.0,61.0
Q = 100,1,54,-13512.0,2.4827586206896552,19067.0,29.0
Q = 100,1,55,-13459.0,1.1041666666666667,19115.0,48.0
Q = 100,1,56,-13384.0,2.8846153846153846,19141.0,26.0
Q = 100,1,57,-13325.0,1.4047619047619047,19183.0,42.0
Q = 100,1,58,-13268.0,1.2954545454545454,19227.0,44.0
Q = 100,1,59,-13215.0,1.1041666666666667,19275.0,48.0
Q = 100,1,60,-13157.0,1.3488372093023255,19318.0,43.0
Q = 100,1,61,-13111.0,0.8363636363636363,19373.0,55.0
Q = 100,1,62,-13046.0,1.8055555555555556,19409.0,36.0
Q = 100,1,63,-13062.0,-0.13675213675213677,19526.0,117.0
Q = 100,1,64,-12998.0,1.7297297297297298,19563.0,37.0
Q = 100,1,65,-12944.0,1.148936170212766,19610.0,47.0
Q = 100,1,66,-12877.0,1.9705882352941178,19644.0,34.0
Q = 100,1,67,-12825.0,1.0612244897959184,19693.0,49.0
Q = 100,1,68,-12760.0,1.8055555555555556,19729.0,36.0
Q = 100,1,69,-12690.0,2.2580645161290325,19760.0,31.0
Q = 100,1,70,-12618.0,2.4827586206896552,19789.0,29.0
Q = 100,1,71,-12549.0,2.15625,19821.0,32.0
Q = 100,1,72,-12495.0,1.148936170212766,19868.0,47.0
Q = 100,1,73,-12442.0,1.1041666666666667,19916.0,48.0
Q = 100,1,74,-12382.0,1.4634146341463414,19957.0,41.0
Q = 100,1,75,-12323.0,1.4047619047619047,19999.0,42.0
Q = 100,1,76,-12291.0,0.463768115942029,20068.0,69.0
Q = 100,1,77,-12220.0,2.3666666666666667,20098.0,30.0
Q = 100,1,78,-12142.0,3.391304347826087,20121.0,23.0
Q = 100,1,79,-12079.0,1.6578947368421053,20159.0,38.0
Q = 100,1,80,-12041.0,0.6031746031746031,20222.0,63.0
Q = 100,1,81,-11978.0,1.6578947368421053,20260.0,38.0
Q = 100,1,82,-11918.0,1.4634146341463414,20301.0,41.0
Q = 100,1,83,-11844.0,2.740740740740741,20328.0,27.0
Q = 100,1,84,-11803.0,0.6833333333333333,20388.0,60.0
Q = 100,1,85,-11735.0,2.0606060606060606,20421.0,33.0
Q = 100,1,86,-11663.0,2.4827586206896552,20450.0,29.0
Q = 100,1,87,-11608.0,1.1956521739130435,20496.0,46.0
Q = 100,1,88,-11570.0,0.6031746031746031,20559.0,63.0
Q = 100,1,89,-11515.0,1.1956521739130435,20605.0,46.0
Q = 100,1,90,-11447.0,2.0606060606060606,20638.0,33.0
Q = 100,1,91,-11386.0,1.525,20678.0,40.0
Q = 100,1,92,-11320.0,1.8857142857142857,20713.0,35.0
Q = 100,1,93,-11279.0,0.6833333333333333,20773.0,60.0
Q = 100,1,94,-11217.0,1.5897435897435896,20812.0,39.0
Q = 100,1,95,-11162.0,1.1956521739130435,20858.0,46.0
Q = 100,1,96,-11099.0,1.6578947368421053,20896.0,38.0
Q = 100,1,97,-11031.0,2.0606060606060606,20929.0,33.0
Q = 100,1,98,-10960.0,2.3666666666666667,20959.0,30.0
Q = 100,1,99,-10911.0,0.9423076923076923,21011.0,52.0
Q = 100,2,0,-1005.0,-0.9086799276672695,1106.0,1106.0
Q = 100,2,1,-2839.0,-0.9478036175710595,3041.0,1935.0
Q = 100,2,2,-3559.0,-0.876979293544458,3862.0,821.0
Q = 100,2,3,-4835.0,-0.9266521423384169,5239.0,1377.0
Q = 100,2,4,-5271.0,-0.8119180633147114,5776.0,537.0
Q = 100,2,5,-6341.0,-0.9137489325362937,6947.0,1171.0
Q = 100,2,6,-9249.0,-0.9664340312396145,9956.0,3009.0
Q = 100,2,7,-13261.0,-0.975443715049842,14069.0,4113.0
Q = 100,2,8,-13752.0,-0.8293918918918919,14661.0,592.0
Q = 100,2,9,-14155.0,-0.7996031746031746,15165.0,504.0
Q = 100,2,10,-14240.0,-0.45698924731182794,15351.0,186.0
Q = 100,2,11,-14495.0,-0.7162921348314607,15707.0,356.0
Q = 100,2,12,-14593.0,-0.49246231155778897,15906.0,199.0
Q = 100,2,13,-14634.0,-0.2887323943661972,16048.0,142.0
Q = 100,2,14,-14635.0,-0.00980392156862745,16150.0,102.0
Q = 100,2,15,-14654.0,-0.15833333333333333,16270.0,120.0
Q = 100,2,16,-14699.0,-0.3082191780821918,16416.0,146.0
Q = 100,2,17,-14682.0,0.20238095238095238,16500.0,84.0
Q = 100,2,18,-14620.0,1.5897435897435896,16539.0,39.0
Q = 100,2,19,-14597.0,0.2948717948717949,16617.0,78.0
Q = 100,2,20,-14575.0,0.27848101265822783,16696.0,79.0
Q = 100,2,21,-14527.0,0.9056603773584906,16749.0,53.0
Q = 100,2,22,-14521.0,0.06315789473684211,16844.0,95.0
Q = 100,2,23,-14452.0,2.15625,16876.0,32.0
Q = 100,2,24,-14396.0,1.2444444444444445,16921.0,45.0
Q = 100,2,25,-14663.0,-0.7255434782608695,17289.0,368.0
Q = 100,2,26,-14618.0,0.8035714285714286,17345.0,56.0
Q = 100,2,27,-14589.0,0.4027777777777778,17417.0,72.0
Q = 100,2,28,-14538.0,1.02,17467.0,50.0
Q = 100,2,29,-14513.0,0.32894736842105265,17543.0,76.0
Q = 100,2,30,-14461.0,1.0612244897959184,17592.0,49.0
Q = 100,2,31,-14395.0,1.8857142857142857,17627.0,35.0
Q = 100,2,32,-14343.0,1.0612244897959184,17676.0,49.0
Q = 100,2,33,-14339.0,0.041237113402061855,17773.0,97.0
Q = 100,2,34,-14291.0,0.9056603773584906,17826.0,53.0
Q = 100,2,35,-14251.0,0.6557377049180327,17887.0,61.0
Q = 100,2,36,-14208.0,0.7413793103448276,17945.0,58.0
Q = 100,2,37,-14188.0,0.24691358024691357,18026.0,81.0
Q = 100,2,38,-14164.0,0.3116883116883117,18103.0,77.0
Q = 100,2,39,-14151.0,0.14772727272727273,18191.0,88.0
Q = 100,2,40,-14122.0,0.4027777777777778,18263.0,72.0
Q = 100,2,41,-14062.0,1.4634146341463414,18304.0,41.0
Q = 100,2,42,-14000.0,1.5897435897435896,18343.0,39.0
Q = 100,2,43,-13959.0,0.6833333333333333,18403.0,60.0
Q = 100,2,44,-13895.0,1.7297297297297298,18440.0,37.0
Q = 100,2,45,-13832.0,1.6578947368421053,18478.0,38.0
Q = 100,2,46,-13774.0,1.3488372093023255,18521.0,43.0
